Season,Transplant,Growth,Harvest,'Products name','Crops Type','Normalized Max Temp','Normalized Min Temp','Normalized Min RH','Normalized Max RH',Cluster
'Kharif 1',March,'April to july',Aug,'Aus Rice(Local: Broadcasted)',Cereals,0.833333,0.318182,0.615385,0.727273,B
'Kharif 1',March,'April to june',July,'Aus Rice(HYV: Transplant)',Cereals,0.833333,0.318182,0.615385,0.727273,C
'Kharif 1',March,'April to May','June to July','Maize 2',Cereals,0.633333,0.681818,0.615385,0.727273,A
'Kharif 1',Feb,'March to May',June,'Mungbean 2',Pulses,0.5,0.681818,0,0.727273,E
'Kharif 1',July,'Aug to Oct','Oct to Nov','Soybean 2','Oil Seeds',0.666667,0.454545,0.230769,0.636364,E
'Kharif 1',May,'June to Sep',Oct,'Groundnut 2','Oil Seeds',0.666667,0.681818,0.923077,0.818182,A
'Kharif 1',March,'April to Aug',Sep,'Ridge Gourd',Vegetables,0.666667,0.909091,1,0.818182,A
'Kharif 1',March,'April to Aug','Sep to Oct','Indian Spinach(Pui shakh)',Vegetables,0.166667,0.454545,0.846154,0.909091,A
'Kharif 1',March,'April to Aug','Sep to Oct','Kang Kong(Kolomi Shakh)',Vegetables,0.666667,0.681818,0.923077,1,A
'Kharif 1',July,'Sep to March',March,'Egg plant',Vegetables,1,0.818182,0.461538,0.727273,A
'Kharif 1',June,'Aug to Feb',March,'Hyacinth Bean',Vegetables,0.333333,0.545455,0.861538,0.890909,A
'Kharif 1',Feb,'March to June','June to July','Onion 2',Vegetables,0.5,0.681818,0.692308,0.545455,A
'Kharif 1',March,'April to Aug',Sep,Jute(Capsularis),Fibre,0.833333,0.681818,0.769231,0.636364,A
'Kharif 1',April,'May to Aug',Sep,Jute(Olitorius),Fibre,0.833333,0.681818,0.769231,0.636364,B
'Kharif 1',April,'June to Aug','Mid Aug to  Oct',Jowar,Staple,0.566667,1,0.692308,0.545455,B
'Kharif 1',March,'April to July','July to Oct','Sunn Hemp 1','Oil Seeds',0.4,0.590909,0.307692,0.454545,E
'Kharif 1',April,'May to Aug','Oct to Dec','Cotton 1',Fibre,0.666667,0.681818,0.353846,0.563636,B
'Kharif 1',April,'May to Dec','Dec to March',Turmeric,Vegetables,0.5,0.681818,0.384615,0.636364,B
'Kharif 1',June,'July to Nov','Nov to April',Beans,Vegetables,0.233333,0.227273,0.615385,0.545455,A
'Kharif 1',April,'May to June','June to Sep','Ladys Finger',Vegetables,0.5,0.227273,0.846154,0.727273,B
