Season,Transplant,Growth,Harvest,'Products name','Crops Type','Normalized Max Temp','Normalized Min Temp','Normalized Min RH','Normalized Max RH',Cluster
'Kharif 1',Mar,'Apr to Jul',Aug,'Aus Rice(Local: Broadcasted)',Cereals,0.833333,0.318182,0.615385,0.727273,A
'Kharif 1',Mar,'Apr to Jun',Jul,'Aus Rice(HYV: Transplant)',Cereals,0.833333,0.318182,0.615385,0.727273,B
'Kharif 1',Mar,'Apr to May',Jun,'Maize 2',Cereals,0.633333,0.681818,0.615385,0.727273,B
'Kharif 1',Feb,'Mar to May',Jun,'Mungbean 2',Pulses,0.5,0.681818,0,0.727273,B
'Kharif 1',Jul,'Aug to Oct',Oct,'Soybean 2','Oil Seeds',0.666667,0.454545,0.230769,0.636364,B
'Kharif 1',May,'Jun to Sep',Oct,'Groundnut 2','Oil Seeds',0.666667,0.681818,0.923077,0.818182,B
'Kharif 1',Mar,'Apr to Aug',Sep,'Ridge Gourd',Vegetables,0.666667,0.909091,1,0.818182,A
'Kharif 1',Mar,'Apr to Aug',Sep,'Indian Spinach(Pui shakh)',Vegetables,0.166667,0.454545,0.846154,0.909091,A
'Kharif 1',Mar,'Apr to Aug',Sep,'Kang Kong(Kolomi Shakh)',Vegetables,0.666667,0.681818,0.923077,1,A
'Kharif 1',Jul,'Sep to Mar',Mar,'Egg plant',Vegetables,1,0.818182,0.461538,0.727273,A
'Kharif 1',Jun,'Aug to Feb',Mar,'Hyacinth Bean',Vegetables,0.333333,0.545455,0.861538,0.890909,A
'Kharif 1',Feb,'Mar to Jun',Jun,'Onion 2',Vegetables,0.5,0.681818,0.692308,0.545455,A
'Kharif 1',Mar,'Apr to Aug',Sep,Jute(Capsularis),Fibre,0.833333,0.681818,0.769231,0.636364,B
'Kharif 1',Apr,'May to Aug',Sep,Jute(Olitorius),Fibre,0.833333,0.681818,0.769231,0.636364,B
'Kharif 1',Apr,'Jun to Aug',Aug,Jowar,Staple,0.566667,1,0.692308,0.545455,B
'Kharif 1',Mar,'Apr to Jul',Jul,'Sunn Hemp 1','Oil Seeds',0.4,0.590909,0.307692,0.454545,B
'Kharif 1',Apr,'May to Aug',Oct,'Cotton 1',Fibre,0.666667,0.681818,0.353846,0.563636,B
'Kharif 1',Apr,'May to Dec',Dec,Turmeric,Vegetables,0.5,0.681818,0.384615,0.636364,B
'Kharif 1',Jun,'Jul to Nov',Nov,Beans,Vegetables,0.233333,0.227273,0.615385,0.545455,A
'Kharif 1',Apr,'May to Jun',Jun,'Ladys Finger',Vegetables,0.5,0.227273,0.846154,0.727273,B
'Kharif 1',Apr,'May to Jul',Jul,Kakrol,Vegetables,0.5,0.681818,0.615385,0.727273,B
'Kharif 1',Apr,'May to Jun',Jun,'Jhinga(Ribbed Gourd)',Vegetables,0.433333,0.590909,0.769231,0.818182,B
'Kharif 1',Mar,'Apr to Jul',Jul,'Chal Kumra(White Gourd)',Vegetables,0.4,0.590909,0.692308,0.727273,A
'Kharif 1',Apr,'May to Sep',Sep,'Mukhi Kachu(Taro)',Vegetables,0,0.136364,0.692308,0.818182,B
'Kharif 1',Apr,'No need to do',Apr,'Litchi 1',Fruits,0.433333,0.045455,0.769231,0.727273,B
